"","Neighbourhood","Accommodates","Bathrooms","Bedrooms","Beds","Price","Square.Feet","Guests.Included","Extra.People","Review.Scores.Rating","Latitude","Longitude"
"3830","Imperial",3,1,2,2,60,NA,2,10,65,40.4137163643948,-3.72007654695452
"3831","Arapiles",1,1,1,1,47,NA,1,25,98,40.4301922034744,-3.70932566913599
"3832","Trafalgar",2,1,0,2,40,NA,1,0,93,40.4367929202636,-3.70304537095176
"3833","Trafalgar",2,1,1,1,69,NA,1,20,96,40.4355023462738,-3.70062691237599
"3834","Trafalgar",12,3,3,3,280,NA,7,15,NA,40.4306264315001,-3.70077848840458
"3835","Trafalgar",4,1,1,2,95,NA,2,10,87,40.4356357165739,-3.70092414371847
"3836","Trafalgar",4,1,1,2,60,0,1,0,NA,40.4301451425767,-3.70193822573442
"3837","Almagro",8,3,4,8,150,NA,7,0,NA,40.437849956152,-3.69350660052307
"3838","Nueva España",2,1,2,2,57,NA,1,0,40,40.464668620578,-3.68643960692045
"3839","Justicia",2,1,0,1,70,NA,1,0,79,40.4217617044969,-3.69770215269493
"3840","Justicia",4,2,1,2,109,NA,2,15,97,40.4240533506753,-3.69717892829092
"3841","Justicia",4,1,1,2,65,NA,2,10,99,40.4221110933372,-3.70037211002971
"3842","Justicia",12,4.5,4,6,285,NA,6,50,98,40.4238730114309,-3.69705800927632
"3843","Justicia",3,1,1,3,90,NA,1,0,92,40.4268504579618,-3.69851623079209
"3844","Justicia",6,2,2,4,100,NA,2,30,96,40.4245371251909,-3.69877534882687
"3845","Justicia",4,2,0,2,80,NA,1,0,100,40.4216404564337,-3.69940773440545
"3846","Justicia",4,1,1,1,100,NA,2,10,100,40.4235117723209,-3.6936990411677
"3847","Justicia",4,1,1,2,65,NA,1,0,100,40.4269818160385,-3.70048314172639
"3848","Justicia",6,2,2,5,145,NA,4,20,100,40.4244277938474,-3.69976233229479
"3849","Malasaña",6,1,2,3,85,NA,4,10,78,40.42085468082,-3.70225754247771
"3850","Malasaña",4,1,0,2,45,NA,2,20,100,40.4252846675887,-3.70456250138111
"3851","Justicia",4,1,2,3,76,NA,2,14,94,40.422222728576,-3.7009711654739
"3852","Malasaña",6,1,1,1,95,NA,4,15,100,40.4230518221863,-3.70103653730904
"3853","Malasaña",4,2,1,2,99,NA,2,5,95,40.4278310893403,-3.70208413899813
